,column,desc
258,wksups1, IF YES: Do any of those persons supervise anyone else?
259,unemp, have you been unemployed and looking for work for as long as a month?
260,union1, Do you (or your spouse or partner) belong to a labor union? (Who?)
261,getaheadv, Some people say that people get ahead by their own hard work; others say that lucky breaks or help from other people are more important. Which do you think is most important?
262,getaheadnv, Some people say that people get ahead by their own hard work: others say that lucky breaks or help from other people are more important. Which do you think is most important?
263,parsol," Compared to your parents when they were the age you are now, do you think your own standard of living now is much better, somewhat better, about the same, somewhat worse, or much worse than theirs was?"
264,kidssolv," When your children are at the age you are now, do you think their standard of living will be much better, somewhat better, about the same, somewhat worse, or much worse than yours is now?"
265,kidssolnv," When your children are at the age you are now, do you think their standard of living will be much better, somewhat better, about the same, somewhat worse, or much worse than yours is now?"
266,joblose," Thinking about the next 12 months, how likely do you think it is that you will lose your job or be laid off--very likely, fairly likely, not too likely, or not at all likely?"
267,jobfind," About how easy would it be for you to find a job with another employer with approximately the same income and fringe benefits you now have? Would you say very easy, somewhat easy, or not easy at all?"
268,fepolv, Tell me if you agree or disagree with this statement: Most men are better suited emotionally for politics than are most women.
269,fepolnv, Tell me if you agree or disagree with this statement: Most men are better suited emotionally for politics than are most women.
270,abdefect, (Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if. . .) If there is a strong chance of serious defect in the baby?
271,abdefectg, (Please tell me whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if. . .) If there is a strong chance of serious defect in the baby?
272,abnomore, If she is married and does not want any more children?
273,abnomoreg, If she is married and does not want any more children?
274,abhlth, If the woman's own health is seriously endangered by the pregnancy?
275,abhlthg, If the woman's own health is seriously endangered by the pregnancy?
276,abpoor, If the family has a very low income and cannot afford any more children?
277,abpoorg, If the family has a very low income and cannot afford any more children?
278,abrape, If she becomes pregnant as a result of rape?
279,abrapeg, If she becomes pregnant as a result of rape?
280,absingle, If she is not married and does not want to marry the man?
281,absingleg, If she is not married and does not want to marry the man?
282,abany, If the woman wants it for any reason?
283,abanyg, If the woman wants it for any reason?
284,chldidel, What do you think is the ideal number of children for a family to have?
285,pillok," Do you strongly agree, agree, disagree, or strongly disagree that methods of birth control should be available to teenagers between the ages of 14 and 16 if their parents do not approve?"
286,sexeduc, Would you be for or against sex education in the public schools?
287,divlawv, Should divorce in this country be easier or more difficult to obtain than it is now?
288,divlawnv, Should divorce in this country be easier or more difficult to obtain than it is now?
289,premarsx," There's been a lot of discussion about the way morals and attitudes about sex are changing in this country. If a man and a woman have sexual relations before marriage, do you think it is always wrong, almost always wrong, wrong only sometimes, or not wrong at all?"
290,teensex," What if they are in their early teens, say 14 to 16 years old? In that case, do you think sex relations before marriage are always wrong, almost always wrong, wrong only sometimes, or not wrong at all?"
291,xmarsex," What is your opinion about a married person having sexual relations with someone other than the marriage partner--is it always wrong, almost always wrong, wrong only sometimes, or not wrong at all?"
292,marhomo, (Do you agree or disagree?) Homosexual couples should have the right to marry one another.
293,homosex," What about sexual relations between two adults of the same sex--do you think it is always wrong, almost always wrong, wrong only sometimes, or not wrong at all?"
294,pornlaw, Which of these statements comes closest to your feelings about pornography laws?
295,xmovie, Have you seen an X-rated movie in the last year?
296,posslq, Which of these statements applies to you?
297,posslqy, Which of these statements applies to you? CODE ONE ONLY.
298,spanking," Do you strongly agree, agree, disagree, or strongly disagree that it is sometimes necessary to discipline a child with a good, hard spanking?"
299,letdie1," When a person has a disease that cannot be cured, do you think doctors should be allowed by law to end the patient's life by some painless means if the patient and his family request it?"
300,suicide1, (Do you think a person has the right to end his or her own life if this person . . .) Has an incurable disease?
301,suicide1g, (Do you think a person has the right to end his or her own life if this person . . .) Has an incurable disease?
302,suicide2, (Do you think a person has the right to end his or her own life if this person . . .) Has gone bankrupt?
303,suicide2g, (Do you think a person has the right to end his or her own life if this person . . .) Has gone bankrupt?
304,suicide3, (Do you think a person has the right to end his or her own life if this person . . .) Has dishonored his or her family?
305,suicide3g, (Do you think a person has the right to end his or her own life if this person . . .) Has dishonored his or her family?
306,suicide4, (Do you think a person has the right to end his or her own life if this person . . .) Is tired of living and ready to die?
307,suicide4g, (Do you think a person has the right to end his or her own life if this person . . .) Is tired of living and ready to die?
308,polabuse, (Would you approve of a policeman striking a citizen who...) Had said vulgar and obscene things to the policeman?
309,polabusey, (Would you approve of a policeman striking a citizen who...) Had said vulgar and obscene things to the police officer?
310,polmurdr, (Would you approve of a policeman striking a citizen whoâ¦) Was being questioned as a suspect in a murder case?
311,polescap, Was attempting to escape from custody?
312,polattak, Was attacking the policeman with his fists?
313,polattaky, Would you approve if the citizen was attacking the police officer with his fists?
314,polhitok, Are there any situations you can imagine in which you would approve of a policeman striking an adult male citizen?
315,polhitoky, Are there any situations you can imagine in which you would approve of a police officer striking an adult male citizen?
316,fear," Is there any area right around here--that is, within a mile--where you would be afraid to walk alone at night?"
317,owngun, Do you happen to have in your home (IF HOUSE: or garage) any guns or revolvers?
318,pistol," Is it a pistol, shotgun, rifle, or what? CODE ALL THAT APPLY. [Coded if Pistol]"
319,shotgun,
320,rifle,
321,rowngun, Do any of these guns personally belong to you?
322,hunt, And now a question on a different topic. [(Do you/Do you or does your spouse] go hunting?
323,news," How often do you read the newspaper--every day, a few times a week, once a week, less than once a week, or never?"
324,tvhours," On the average day, about how many hours do you personally watch television?"
325,phone, Thank you very much for your time and help. Do you have a telephone? May I have your name and (one of your) telephone number(s) just in case I have left something out in this interview?
326,coop," (FOR INTERVIEWERS) In general, what was the respondent's attitude toward the interview?"
327,comprend, (FOR INTERVIEWERS) Was respondent's understanding of the questionsâ¦
328,form, FORM OF SPLIT QUESTIONNAIRE ASKED
329,fechld," Please read the following statements and indicate whether you strongly agree, agree, disagree, or strongly disagree with each statement. For example, here is the statement: A working mother can establish just as warm and secure a relationship with her children as a mother who does not work."
330,fepresch," (Please read the following statements and indicate whether you strongly agree, agree, disagree, or strongly disagree with each statementâ¦) A preschool child is likely to suffer if his or her mother works."
331,fefam," (Please read the following statements and indicate whether you strongly agree, agree, disagree, or strongly disagree with each statementâ¦) It is much better for everyone involved if the man is the achiever outside the home and the woman takes care of the home and family."
332,racdif1," On the average (Negroes/Blacks/African-Americans) have worse jobs, income, and housing than white people. Do you think these differences are . . . Mainly due to discrimination?"
333,racdif2," (On the average (Negroes/Blacks/African-Americans) have worse jobs, income, and housing than white people. Do you think these differences are . . .) Because most (Negroes/Blacks/African-Americans) have less in-born ability to learn?"
334,racdif3," (On the average (Negroes/Blacks/African-Americans) have worse jobs, income, and housing than white people. Do you think these differences are . . .) Because most (Negroes/Blacks/African-Americans) don't have the chance for education that it takes to rise out of poverty?"
335,racdif4," (On the average (Negroes/Blacks/African-Americans) have worse jobs, income, and housing than white people. Do you think these differences are . . .) Because most (Negroes/Blacks/African-Americans) just don't have the motivation or willpower to pull themselves up out of poverty?"
336,helppoor," Next, here are issues that some people tell us are important. Some people think that the government in Washington should do everything possible to improve the standard of living of all poor Americans, they are at Point 1 on the scale below. Other people think it is not the governmentâs responsibility, and that each person should take care of himself, they are at Point 5. Where would you place yourself on this scale, or haven't you made up your mind on this?"
337,helpnot," Some people think that the government in Washington is trying to do too many things that should be left to individuals and private businesses. Others disagree and think that the government should do even more to solve our country's problems. Still others have opinions somewhere in between. Where would you place yourself on this scale, or haven't you made up your mind on this?"
338,helpsick," In general, some people think that it is the responsibility of the government in Washington to see to it that people have help in paying for doctors and hospital bills. Others think that these matters are not the responsibility of the federal government and that people should take care of these things themselves. Where would you place yourself on this scale, or haven't you made up your mind on this?"
339,helpblk," Some people think that Blacks have been discriminated against for so long that the government has a special obligation to help improve their living standards. Others believe that the government should not be giving special treatment to Blacks. Where would you place yourself on this scale, or haven't you made up your mind on this?"
340,god, Which of the statements comes closest to expressing what you believe about God
341,reborn," Would you say you have been born again or have had a born again experience -- that is, a turning point in your life when you committed yourself to Christ?"
342,savesoul, Have you ever tried to encourage someone to believe in Jesus Christ or to accept Jesus Christ as his or her savior?
343,wlthhsps, (Do people in this group tend to be rich or poor?) Hispanic Americans?
344,workhsps, (Do people in this group tend to be hardworking or lazy?) Hispanic-Americans?
345,intlhsps," (Do people in this group tend to be unintelligent or tend to be intelligent?) Hispanic, Latinos?"
346,liveblks," Now we are going to ask you about different types of contact with various groups of people. For the following situation, please indicate whether you would be very much in favor of it happening, somewhat in favor, neither in favor nor opposed to it happening, somewhat opposed, or very much opposed to it happening. Living in a neighborhood where half of your neighbors were blacks?"
347,livewhts," Now we are going to ask you about different types of contact with various groups of people. For the following situation, please indicate whether you would be very much in favor of it happening, somewhat in favor, neither in favor nor opposed to it happening, somewhat opposed, or very much opposed to it happening. Living in a neighborhood where half of your neighbors were whites?"
348,marwht," What about having a close relative marry a White person? Would you be very in favor of it happening, somewhat in favor, neither in favor nor opposed to it happening, somewhat opposed, or very opposed to it happening?"
349,marblk, What about having a close relative marry a Black person?
350,marasian, How about having a close relative marry an Asian American person?
351,marhisp, How about having a close relative marry a Hispanic or Latino person?
352,racwork," IF EMPLOYED: Are the people who work where you work all white, mostly white, about half and half, mostly black, or all black?"
353,discaff," What do you think the chances are these days that a white person won't get a job or promotion while an equally or less qualified black person gets one instead? Is this very likely, somewhat likely, or not very likely to happen these days?"
354,fejobaff," Some people say that because of past discrimination, women should be given preference in hiring and promotion. Others say that such preference in hiring and promotion of women is wrong because it discriminates against men. What about your opinion -are you for or against preferential hiring and promotion of women? IF FOR: Do you favor prefence in hiring and promotion strongly or not strongly? IF AGAINST: Do you oppose the preference in hiring and promotion strongly or not strongly?"
355,discaffm," What do you think the chances are these days that a man won't get a job or promotion while an equally or less qualified woman gets one instead. Is this very likely, somewhat likely, somewhat unlikely, or very unlikely these days?"
356,discaffwv," What do you think the chances are these days that a woman won't get a job or promotion while an equally or less qualified man gets one instead. Is this very likely, somewhat likely, somewhat unlikely, or very unlikely these days?"
357,discaffwnv," What do you think the chances are these days that a woman won't get a job or promotion while an equally or less qualified man gets one instead. Is this very likely, somewhat likely, somewhat unlikely, or very unlikely these days?"
358,fehire," Now I'm going to read several statements. As I read each one, please tell me whether you strongly agree, agree, neither agree nor disagree, Because of past discrimination, employers should make special efforts to hire and promote qualified women."
359,relpersn," To what extent do you consider yourself a religious person? Are you very religious, moderately religious, slightly religious, or not religious at all?"
360,sprtprsn," To what extent do you consider yourself a spiritual person? Are you very spiritual, moderately spiritual, slightly spiritual, or not spiritual at all?"
361,relexp, Did you ever have a religious or spiritual experience that changed your life?
362,othlang, Can you speak a language other than English [Spanish]?
363,othlang1, What other language(s) do you speak? First response.
364,othlang2, What other language(s) do you speak? Second response.
365,spklang," How well do you speak that language? [IF SPEAKS 2 OR MORE, ASK ONLY OF THE MOST FLUENT LANGUAGE] READ CATEGORIES"
366,betrlang, Which language do you speak more fluently?
367,spanself," If this interview had only been available in English, would you..."
368,compuse," Do you personally ever use a computer at home, at work, or at some other location?"
369,webmob, Do you have access to the Internet in your home through an Internet-enabled mobile device like a smart phone or tablet?
370,emailmin, About how many minutes or hours per week do you spend sending and answering electronic mail or e-mail?
371,emailhr, About how many minutes or hours per week do you spend sending and answering electronic mail or e-mail?
372,usewww," Other than for e-mail, do you ever use the Internet or World Wide Web? [INTERVIEWER: TREAT THESE AS THE SAME]"
373,wwwhr," Not counting e-mail, about how many minutes or hours per week do you use the Web? (Include time you spend visiting regular web sites and time spent using interactive Internet services like social media, streaming services, chat rooms, online conferencing services, discussion boards or forums, and the like.)"
374,wwwmin, Minutes per week?
375,huclean, How clean was the interior of the housing unit?
376,numemps, Are/were you self-employed or do/did you work for someone else? [If 'Self-employed'] Do/did you have any employees? [If 'Yes'] How many employees do/did you have?
377,wrkslffam, (Do/did) you work in your own family business or farm?
378,wrkgovt1," (Are/Were) you employed by the government? (Please consider federal, state, or local government.)"
379,wrkgovt2, (Are/Were) you employed by a private employer (including non-profit organizations)?
380,mawrkslf2," At this job, was (your mother/your stepmother/the female relative you were living with when you were 16) an employee, self-employed without employees, or self-employed with employees?"
381,meovrwrk, Family life often suffers because men concentrate too much on their work.
382,localnum," About how many people work at the location where you work? (Count part-time as well as full-time employees in all areas, departments and buildings.)"
383,letin1a, Do you think the number of immigrants to America nowadays should be
384,disrspct, (In your day-to-day life how often have any of the following things happened to you?) You are treated with less courtesy or respect than other people.
385,poorserv, (In your day-to-day life how often have any of the following things happened to you?) You receive poorer service than other people at restaurants or stores.
386,notsmart, (In your day-to-day life how often have any of the following things happened to you?) People act as if they think you are not smart.
387,afraidof, (In your day-to-day life how often have any of the following things happened to you?) People act as if they are afraid of you.
388,threaten, (In your day-to-day life how often have any of the following things happened to you?) You are threatened or harassed.
389,ethnic, (From what countries or part of the world did your ancestors come?) IF MORE THAN ONE COUNTRY NAMED: Which one of these countries do you feel closer to?
390,eth1, (From what countries or part of the world did your ancestors come?) FIRST ETHNICITY MENTIONED
391,eth2, (From what countries or part of the world did your ancestors come?) SECOND ETHNICITY MENTIONED
392,eth3, (From what countries or part of the world did your ancestors come?) THIRD ETHNICITY MENTIONED
393,ethworld1, From what part of the world did your ancestors come? Europe
394,ethworld2, From what part of the world did your ancestors come? Africa
395,ethworld3, From what part of the world did your ancestors come? Asia
396,ethworld4, From what part of the world did your ancestors come? Middle East
397,ethworld5, From what part of the world did your ancestors come? South America
398,ethworld6, From what part of the world did your ancestors come? Central America
399,ethworld7, From what part of the world did your ancestors come? North America
400,ethworld8, From what part of the world did your ancestors come? Caribbean
401,ethworld9, From what part of the world did your ancestors come? Oceania
402,ethregion1, From what country or countries did your ancestors come? Austria
403,ethregion2, From what country or countries did your ancestors come? Belgium
404,ethregion3, From what country or countries did your ancestors come? Czechoslovakia
405,ethregion4, From what country or countries did your ancestors come? Denmark
406,ethregion5, From what country or countries did your ancestors come? England and Wales
407,ethregion6, From what country or countries did your ancestors come? Finland
408,ethregion7, From what country or countries did your ancestors come? France
409,ethregion8, From what country or countries did your ancestors come? Germany
410,ethregion9, From what country or countries did your ancestors come? Greece
411,ethregion10, From what country or countries did your ancestors come? Hungary
412,ethregion11, From what country or countries did your ancestors come? Ireland
413,ethregion12, From what country or countries did your ancestors come? Italy
414,ethregion13, From what country or countries did your ancestors come? Lithuania
415,ethregion14, From what country or countries did your ancestors come? Netherlands (Dutch/Holland)
416,ethregion15, From what country or countries did your ancestors come? Norway
417,ethregion16, From what country or countries did your ancestors come? Poland
418,ethregion17, From what country or countries did your ancestors come? Portugal
419,ethregion18, From what country or countries did your ancestors come? Romania
420,ethregion19, From what country or countries did your ancestors come? Russia (USSR)
421,ethregion20, From what country or countries did your ancestors come? Scotland
422,ethregion21, From what country or countries did your ancestors come? Spain
423,ethregion22, From what country or countries did your ancestors come? Sweden
424,ethregion23, From what country or countries did your ancestors come? Switzerland
425,ethregion24, From what country or countries did your ancestors come? Turkey
426,ethregion25, From what country or countries did your ancestors come? Yugoslavia
427,ethregion26, From what country or countries did your ancestors come? Other (Europe)
428,ethregion27, From what country or countries did your ancestors come? Algeria
429,ethregion28, From what country or countries did your ancestors come? Democratic Republic of the Congo
430,ethregion29, From what country or countries did your ancestors come? Egypt
431,ethregion30, From what country or countries did your ancestors come? Ethiopia
432,ethregion31, From what country or countries did your ancestors come? Kenya
433,ethregion32, From what country or countries did your ancestors come? Nigeria
434,ethregion33, From what country or countries did your ancestors come? South Africa
435,ethregion34, From what country or countries did your ancestors come? Sudan
436,ethregion35, From what country or countries did your ancestors come? Tanzania
437,ethregion36, From what country or countries did your ancestors come? Uganda
438,ethregion37, From what country or countries did your ancestors come? Other (Africa)
439,ethregion38, From what country or countries did your ancestors come? Bangladesh
440,ethregion39, From what country or countries did your ancestors come? China
441,ethregion40, From what country or countries did your ancestors come? India
442,ethregion41, From what country or countries did your ancestors come? Indonesia
443,ethregion42, From what country or countries did your ancestors come? Japan
444,ethregion43, From what country or countries did your ancestors come? Pakistan
445,ethregion44, From what country or countries did your ancestors come? Philippines
446,ethregion45, From what country or countries did your ancestors come? South Korea
447,ethregion46, From what country or countries did your ancestors come? Thailand
448,ethregion47, From what country or countries did your ancestors come? Vietnam
449,ethregion48, From what country or countries did your ancestors come? Other (Asia)
450,ethregion49, From what country or countries did your ancestors come? Iran
451,ethregion50, From what country or countries did your ancestors come? Iraq
452,ethregion51, From what country or countries did your ancestors come? Israel
453,ethregion52, From what country or countries did your ancestors come? Jordan
454,ethregion53, From what country or countries did your ancestors come? Saudi Arabia
455,ethregion54, From what country or countries did your ancestors come? Syria
456,ethregion55, From what country or countries did your ancestors come? United Arab Emirates
457,ethregion56, From what country or countries did your ancestors come? Yemen
458,ethregion57, From what country or countries did your ancestors come? Other (Middle East)
459,ethregion58, From what country or countries did your ancestors come? Argentina
460,ethregion59, From what country or countries did your ancestors come? Bolivia
461,ethregion60, From what country or countries did your ancestors come? Brazil
462,ethregion61, From what country or countries did your ancestors come? Chile
463,ethregion62, From what country or countries did your ancestors come? Colombia
464,ethregion63, From what country or countries did your ancestors come? Ecuador
465,ethregion64, From what country or countries did your ancestors come? French Guiana
466,ethregion65, From what country or countries did your ancestors come? Guyana
467,ethregion66, From what country or countries did your ancestors come? Paraguay
468,ethregion67, From what country or countries did your ancestors come? Peru
469,ethregion68, From what country or countries did your ancestors come? Suriname
470,ethregion69, From what country or countries did your ancestors come? Uruguay
471,ethregion70, From what country or countries did your ancestors come? Venezuela
472,ethregion71, From what country or countries did your ancestors come? Other (South America)
473,ethregion72, From what country or countries did your ancestors come? Belize
474,ethregion73, From what country or countries did your ancestors come? Costa Rica
475,ethregion74, From what country or countries did your ancestors come? El Salvador
476,ethregion75, From what country or countries did your ancestors come? Guatemala
477,ethregion76, From what country or countries did your ancestors come? Honduras
478,ethregion77, From what country or countries did your ancestors come? Mexico
479,ethregion78, From what country or countries did your ancestors come? Nicaragua
480,ethregion79, From what country or countries did your ancestors come? Panama
481,ethregion80, From what country or countries did your ancestors come? Other (Central America)
482,ethregion81, From what country or countries did your ancestors come? American Indian
483,ethregion82, From what country or countries did your ancestors come? Canada
484,ethregion83, From what country or countries did your ancestors come? Canada (French)
485,ethregion84, From what country or countries did your ancestors come? Puerto Rico
486,ethregion85, From what country or countries did your ancestors come? Other (North America)
487,ethregion86, From what country or countries did your ancestors come? Cuba
488,ethregion87, From what country or countries did your ancestors come? Haiti
489,ethregion88, From what country or countries did your ancestors come? Dominican Republic
490,ethregion89, From what country or countries did your ancestors come? Jamaica
491,ethregion90, From what country or countries did your ancestors come? Other (Caribbean)
492,ethregion91, From what country or countries did your ancestors come? Australia
493,ethregion92, From what country or countries did your ancestors come? Papua New Guinea
494,ethregion93, From what country or countries did your ancestors come? New Zealand
495,ethregion94, From what country or countries did your ancestors come? Samoa
496,ethregion95, From what country or countries did your ancestors come? Jamaica
497,ethregion96, From what country or countries did your ancestors come? Other (Oceania)
498,hispanic," Are you Spanish, Hispanic, or Latino/Latina? IF YES: Which group are you from?"
499,raceacs1, What is your race? White
500,raceacs2, Black or African American
501,raceacs3, American Indian or Alaska Native
502,raceacs4, Asian Indian
503,raceacs5, Chinese
504,raceacs6, Filipino
505,raceacs7, Japanese
506,raceacs8, Korean
507,raceacs9, Vietnamese
508,raceacs10, Other Asian
509,raceacs11, Native Hawaiian
510,raceacs12, Guamanian or Chamorro
511,raceacs13, Samoan
512,raceacs14, Other Pacific Islander
513,raceacs15, Some other race
514,raceacs16, Hispanic
515,racecen1, (What is your race? Indicate one or more races that you consider yourself to be.) First mention
516,racecen2, (What is your race? Indicate one or more races that you consider yourself to be.) Second mention
517,racecen3, (What is your race? Indicate one or more races that you consider yourself to be.) Third mention
518,uscitznv, Now we would like to ask you about U.S. citizenship. Are youâ¦
519,uscitznnv, Now we would like to ask you about U.S. citizenship. Are youâ¦
520,fucitznv, Are youâ¦
521,fucitznnv, Are youâ¦
522,yearsusa," How long have you lived in the United States? If less than a year, please specify the time in months. If you have lived in the United States for more than one period during your life, what is the total number of years you have lived in the United States?"
523,mnthsusa," How long have you lived in the United States? If less than a year, please specify the time in months. If you have lived in the United States for more than one period during your life, what is the total number of years you have lived in the United States?"
524,vetyears, Have you ever been on active duty for military training or service for two consecutive months or more? IF YES: What was your total time on active duty?
525,dwelown," (Do you/Does your family) own your (home/apartment), pay rent, or what?"
526,dwelown16," When you were 16 years old, did your family own your own home, pay rent, or something else?"
527,worda," We would like to know something about how people go about guessing words they do not know. On this card are listed some words--you may know some of them, and you may not know quite a few of them. On each line the first word is in capital letters -- like BEAST. Then there are five other words. Tell me the number of the word that comes closest to the meaning of the word in capital letters. For example, if the word in capital letters is BEAST, you would say '4' since 'animal'come closer to BEAST than any of the other words. If you wish, I will read the words to you. These words are difficult for almost everyone-just give me your best guess if you are not sure of the answer. (CIRCLE ONE CODE NUMBER FOR EACH ITEM BELOW) Word A"
528,wordb, Word B
529,wordc, Word C
530,wordd, Word D
531,worde, Word E
532,wordf, Word F
533,wordg, Word G
534,wordh, Word H
535,wordi, Word I
536,wordj, Word J
537,wordsum, Total number of correct words.
538,relhhd1, What is (PERSON)'s relationship to (HEAD OF HOUSEHOLD)? Relationship of first person to head of household.
539,relhhd2, What is (PERSON)'s relationship to (HEAD OF HOUSEHOLD)? Relationship of second person to head of household.
540,relhhd3, What is (PERSON)'s relationship to (HEAD OF HOUSEHOLD)? Relationship of third person to head of household.
541,relhhd4, What is (PERSON)'s relationship to (HEAD OF HOUSEHOLD)? Relationship of fourth person to head of household.
542,relhhd5, What is (PERSON)'s relationship to (HEAD OF HOUSEHOLD)? Relationship of fifth person to head of household.
543,relhhd6, What is (PERSON)'s relationship to (HEAD OF HOUSEHOLD)? Relationship of sixth person to head of household.
544,relhhd7, What is (PERSON)'s relationship to (HEAD OF HOUSEHOLD)? Relationship of seventh person to head of household.
545,relhhd8, What is (PERSON)'s relationship to (HEAD OF HOUSEHOLD)? Relationship of eighth person to head of household.
546,relhhd9, What is (PERSON)'s relationship to (HEAD OF HOUSEHOLD)? Relationship of ninth person to head of household.
547,relhhd10, What is (PERSON)'s relationship to (HEAD OF HOUSEHOLD)? Relationship of tenth person to head of household.
548,relhhd11, What is (PERSON)'s relationship to (HEAD OF HOUSEHOLD)? Relationship of eleventh person to head of household.
549,relhhd12, What is (PERSON)'s relationship to (HEAD OF HOUSEHOLD)? Relationship of twelfth person to head of household.
550,relhhd13, What is (PERSON)'s relationship to (HEAD OF HOUSEHOLD)? Relationship of thirteenth person to head of household.
551,relhhd14, What is (PERSON)'s relationship to (HEAD OF HOUSEHOLD)? Relationship of fourteenth person to head of household.
552,dateintv, Date of interview.
553,isco08," Respondent's Occupation, 2008 ISCO"
554,sei10, R's SOCIOECONOMIC INDEX (2010)
555,sei10educ, PERCENTAGE OF SOME COLLEGE EDUC IN OCC10 BASED ON ACS 2010
556,sei10inc, PERCENTAGE OF $45K+ EARNERS IN OCC10 BASED ON ACS 2010
557,pasei10, R'S FATHER'S SOCIOECONOMIC INDEX (2010)
558,pasei10educ, PERCENTAGE OF SOME COLLEGE EDUC IN PAOCC10 BASED ON ACS 2010
559,pasei10inc, PERCENTAGE OF $45K+ EARNERS IN PAOCC10 BASED ON ACS 2010
560,masei10, R'S MOTHER'S SOCIOECONOMIC INDEX (2010)
561,masei10educ, PERCENTAGE OF SOME COLLEGE EDUC IN SPOCC10 BASED ON ACS 2010
562,masei10inc, PERCENTAGE OF $45K+ EARNERS IN PAOCC10 BASED ON ACS 2010
563,spsei10, R'S SPOUSE'S SOCIOECONOMIC INDEX (2010)
564,spsei10educ, PERCENTAGE OF SOME COLLEGE EDUC IN SPOCC10 BASED ON ACS 2010
565,spsei10inc, PERCENTAGE OF $45K+ EARNERS IN SPOCC10 BASED ON ACS 2010
566,cosei10, R'S PARTNER'S SOCIOECONOMIC INDEX (2010)
567,cosei10educ, PERCENTAGE OF SOME COLLEGE EDUC IN COOCC10 BASED ON ACS 2010
568,cosei10inc, PERCENTAGE OF $45K+ EARNERS IN COOCC10 BASED ON ACS 2010
569,uswaryv, Do you expect the United States to fight in another world war within the next ten years?
570,uswarynv, Do you expect the United States to fight in another world war within the next ten years?
571,goodlife," (Please tell me/Please indicate) whether you strongly agree, agree, neither agree nor disagree, disagree, or strongly disagree with the following statement: The way things are in America, people like me and my family have a good chance of improving our standard of living-- do you agree or disagree?"
572,relate1, (FIRST PERSON) Relationship of first person to head of household
573,gender1, (FIRST PERSON) Gender of first person
574,old1, (FIRST PERSON) Age of first person
575,mar1, (FIRST PERSON) Marital status of first person
576,away1, Is the first person staying somewhere else right now?
577,where1, (FIRST PERSON) Where is the first person staying?
578,relate2, (SECOND PERSON) Relationship of second person to head of household
579,gender2, (SECOND PERSON) Gender of second person
580,old2, (SECOND PERSON) Age of second person
581,mar2, (SECOND PERSON) Marital status of second person
582,away2, Is the second person staying somewhere else right now?
583,where2, (SECOND PERSON) Where is the second person staying?
584,relate3, (THIRD PERSON) Relationship of third person to head of household
585,gender3, (THIRD PERSON) Gender of third person
586,old3, (THIRD PERSON) Age of third person
587,mar3, (THIRD PERSON) Marital status of third person
588,away3, Is the third person staying somewhere else right now?
589,where3, (THIRD PERSON) Where is the third person staying?
590,relate4, (FOURTH PERSON) Relationship of fourth person to head of household
591,gender4, (FOURTH PERSON) Gender of fourth person
592,old4, (FOURTH PERSON) Age of fourth person
593,mar4, (FOURTH PERSON) Marital status of fourth person
594,away4, Is the fourth person staying somewhere else right now?
595,where4, (FOURTH PERSON) Where is the fourth person staying?
596,relate5, (FIFTH PERSON) Relationship of fifth person to head of household
597,gender5, (FIFTH PERSON) Gender of fifth person
598,old5, Age of fifth person
599,mar5, Marital status of fifth person
600,away5, Is the fifth person staying somewhere else right now?
601,where5, Where is the fifth person staying?
602,relate6, Relationship of sixth person to head of household
603,gender6, Gender of sixth person
604,old6, Age of sixth person
605,mar6, Marital status of sixth person
606,away6, Is the sixth person staying somewhere else right now?
607,where6, Where is sixth person staying?
608,relate7, Relationship of seventh person to head of household
609,gender7, Gender of seventh person
610,old7, Age of seventh person
611,mar7, Marital status of seventh person
612,away7, Is the seventh person staying somewhere else right now?
613,where7, Where is the seventh person staying?
614,relate8, Relationship of eighth person to head of household
615,gender8, Gender of eighth person
616,old8, Age of eighth person
617,mar8, Marital status of eighth person
618,away8, Is the eighth person staying somewhere else right now?
619,where8, Where is the eighth person staying?
620,relate9, Relationship of ninth person to head of household
621,gender9, Gender of ninth person
622,old9, Age of ninth person
623,mar9, Marital status of ninth person
624,away9, Is the ninth person staying somewhere else right now?
625,where9, Where is the ninth person staying?
626,relate10, Relationship of tenth person to head of household
627,gender10, Gender of tenth person
628,old10, Age of tenth person
629,mar10, Marital status of tenth person
630,away10, Is the tenth person staying somewhere else right now?
631,where10, Where is the tenth person staying?
632,relate11, Relationship of eleventh person to head of household
633,gender11, Gender of eleventh person
634,old11, Age of eleventh person
635,mar11, Marital status of eleventh person
636,away11, Is the eleventh person staying somewhere else right now?
637,where11, Where is the eleventh person staying?
638,relate12, Relationship of twelfth person to head of household
639,gender12, Gender of twelfth person
640,old12, Age of twelfth person
641,mar12, Marital status of twelfth person
642,away12, Is the twelfth person staying somewhere else right now?
643,where12, Where is the twelfth person staying?
644,relate13, Relationship of thirteenth person to head of household
645,gender13, Gender of thirteenth person
646,old13, Age of thirteenth person
647,mar13, Marital status of thirteenth person
648,away13, Is the thirteenth person staying somewhere else right now?
649,where13, Where is the thirteenth person staying?
650,relate14, Relationship of fourteenth person to head of household
651,gender14, Gender of fourteenth person
652,old14, Age of fourteenth person
653,mar14, Marital status of fourteenth person
654,away14, Is the fourteenth person staying somewhere else right now?
655,where14, Where is the fourteenth person staying?
656,hefinfo, Number in family of person who was household informant (i.e. who provided information on household members).
657,hhrace, Race of household.
658,respnum, Respondent's number in family.
659,hhtype, Household Type.
660,hhtype1, Household type (condensed)
661,famgen, Number of family generations in household.
